Club,Division,Nation of Club,Club Reputation
Mighty Dragons,-,Liberia,National
Al-Shawehly (Misurata),Libyan Lower Division,Libya,Local
Al-Yarmouk (LBY),Libyan Lower Division,Libya,Local
Srimex,Liberian Lower Division,Liberia,National
PAGS,Liberian Lower Division,Liberia,National
Junglinster,Luxembourg Division of Honour,Luxembourg,Obscure
Yellow Boys,Luxembourg Division of Honour,Luxembourg,Obscure
US Feulen,Luxembourg First Division - North,Luxembourg,Obscure
Red Star Merl-Belair,Luxembourg Lower Division,Luxembourg,Obscure
Etoile Sportive Clemency,Luxembourg Lower Division,Luxembourg,Obscure
FC Minière Lasauvage,Luxembourg Lower Division,Luxembourg,Obscure
Ganta Almighty,Liberian Second Division,Liberia,National
Avenir Beggen,Luxembourg First Division - South,Luxembourg,Obscure
Mondercange,Luxembourg Division of Honour,Luxembourg,Obscure
Sandweiler,Luxembourg First Division - South,Luxembourg,Obscure
URB,Luxembourg First Division - South,Luxembourg,Obscure
Atert Bissen,Luxembourg Division of Honour,Luxembourg,Obscure
Diekirch,Luxembourg First Division - North,Luxembourg,Obscure
Schieren,Luxembourg First Division - North,Luxembourg,Obscure
Schifflange,Luxembourg Division of Honour,Luxembourg,Obscure
Echternach,Luxembourg First Division - North,Luxembourg,Obscure
Wincrange,Luxembourg Lower Division,Luxembourg,Obscure
Bettembourg,Luxembourg Division of Honour,Luxembourg,Obscure
Tricolore,Luxembourg Lower Division,Luxembourg,Obscure
Berdorf-Consdorf,Luxembourg First Division - North,Luxembourg,Obscure
FC Résidence,Luxembourg First Division - South,Luxembourg,Obscure
Alisontia Steinsel,Luxembourg Division of Honour,Luxembourg,Obscure
CS Bourscheid,Luxembourg Lower Division,Luxembourg,Obscure
FC Racing Heiderscheid,Luxembourg Lower Division,Luxembourg,Obscure
Exodus,Liberian Lower Division,Liberia,National
Black Star (LBR),Liberian Lower Division,Liberia,National
Junior Professionals,Liberian Second Division,Liberia,National
Devereux,Liberian Lower Division,Liberia,National
USA FC,Liberian Lower Division,Liberia,National
Jasmine Rangers,Liberian Lower Division,Liberia,National
Gedi & Sons,Liberian Lower Division,Liberia,National
UMC Roots,Liberian Lower Division,Liberia,National
Mighty Blue Angels,Liberian Second Division,Liberia,National
Tony,Liberian Second Division,Liberia,National
Aries (LBR),-,Liberia,National
Royal Peace,Liberian Lower Division,Liberia,National
Gedeh Ambassador,Liberian Lower Division,Liberia,National
Eman,Liberian Lower Division,Liberia,National
Alliance FC (LBR),Liberian Lower Division,Liberia,National
VOA,Liberian Lower Division,Liberia,National
Gardnersville,Liberian Second Division,Liberia,National
Ganta Black Stars,Liberian Lower Division,Liberia,National
AS Colmar-Berg,Luxembourg Lower Division,Luxembourg,Obscure
Fassell,Liberian Lower Division,Liberia,Regional
Sinoe,Liberian Lower Division,Liberia,Regional
Maryland,Liberian Lower Division,Liberia,Regional
Kolakeh,Liberian Lower Division,Liberia,Regional
Police Blue Angels,Liberian Lower Division,Liberia,Regional
Manding Jallah,Liberian Lower Division,Liberia,Regional
Diamond (LBR),Liberian Lower Division,Liberia,Regional
Survivors,Liberian Lower Division,Liberia,Regional
LTC Satellite,Liberian Lower Division,Liberia,Regional
St. Paullina,Liberian Lower Division,Liberia,Regional
Vinton,Liberian Lower Division,Liberia,Regional
Zelor,Liberian Lower Division,Liberia,Regional
Roza (LBR),Liberian Lower Division,Liberia,Regional
Bassa Defenders,Liberian Lower Division,Liberia,Regional
Millenium (LBR),Liberian Lower Division,Liberia,Regional
Al-Pro,Liberian Lower Division,Liberia,Regional
New Georgia Pirates,Liberian Lower Division,Liberia,Regional
Green Pastures,Liberian Lower Division,Liberia,Regional
Gbaisue,Liberian Lower Division,Liberia,Regional
Mighty Electron,Liberian Lower Division,Liberia,Regional
Young Pro,Liberian Lower Division,Liberia,Regional
Defence Guidance,Liberian Lower Division,Liberia,Regional
Warndeh,Liberian Lower Division,Liberia,Regional
Satellite (LBR),Liberian Lower Division,Liberia,Regional
Muscat (LBR),Liberian Second Division,Liberia,Regional
72nd,Liberian Lower Division,Liberia,Regional
Georgia (LBR),Liberian Lower Division,Liberia,Regional
Darious,Liberian Lower Division,Liberia,Regional
Super Rollers,Liberian Lower Division,Liberia,Regional
Sesay,Liberian Lower Division,Liberia,Regional
Jubilee,Liberian Second Division,Liberia,Regional
Sidina,-,Liberia,Regional
New Hope,-,Liberia,Regional
Fair Play,-,Liberia,Regional
Bendu,-,Liberia,Regional
Cece United,-,Liberia,Regional
Monrovia Football Academy,-,Liberia,Regional
PY Star,-,Liberia,Regional
Bristol Liberia,Liberian Lower Division,Liberia,Regional
JAI,Liberian Second Division,Liberia,Regional
Lorentzweiler,Luxembourg First Division - North,Luxembourg,Obscure
Minerva Lëntgen,Luxembourg First Division - North,Luxembourg,Obscure
Alliance Aischdall,Luxembourg First Division - North,Luxembourg,Obscure
Norden,Luxembourg First Division - North,Luxembourg,Obscure
Marisca Mersch,Luxembourg Division of Honour,Luxembourg,Obscure
Sporting Bertrange,Luxembourg First Division - South,Luxembourg,Obscure
CS Sanem,Luxembourg First Division - South,Luxembourg,Obscure
ASL Porto,Luxembourg Lower Division,Luxembourg,Obscure
Red Black,Luxembourg First Division - South,Luxembourg,Obscure
Red Boys Aspelt,Luxembourg Lower Division,Luxembourg,Obscure
Syra Mensdorf,Luxembourg First Division - South,Luxembourg,Obscure
Luna Oberkorn,Luxembourg First Division - South,Luxembourg,Obscure
FC Ehlerange,Luxembourg Lower Division,Luxembourg,Obscure
ASRL Larochette,Luxembourg Lower Division,Luxembourg,Obscure
FC Munsbach,Luxembourg Lower Division,Luxembourg,Obscure
FC Racing Ulflange,Luxembourg Lower Division,Luxembourg,Obscure
FC Beckerich,Luxembourg Lower Division,Luxembourg,Obscure
FC Brouch,Luxembourg Lower Division,Luxembourg,Obscure
US Moutfort-Medingen,Luxembourg Lower Division,Luxembourg,Obscure
Oberkorn,Luxembourg First Division - South,Luxembourg,Obscure
Kehlen,Luxembourg First Division - North,Luxembourg,Obscure
Berdenia Berbourg,Luxembourg Division of Honour,Luxembourg,Obscure
FC AS Hosingen,Luxembourg First Division - North,Luxembourg,Obscure
SC Ell,Luxembourg Lower Division,Luxembourg,Obscure
US Rambrouch,Luxembourg Lower Division,Luxembourg,Obscure
Jeunesse Gilsdorf,Luxembourg Lower Division,Luxembourg,Obscure
FC Les Ardoisiers Perlé,Luxembourg Lower Division,Luxembourg,Obscure
FC Blo-Wäiss Izeg,Luxembourg First Division - South,Luxembourg,Obscure
FC Koerich,Luxembourg Lower Division,Luxembourg,Obscure
Jeunesse Biwer,Luxembourg Lower Division,Luxembourg,Obscure
US Folschette,Luxembourg Lower Division,Luxembourg,Obscure
Bastendorf,Luxembourg First Division - North,Luxembourg,Obscure
Orania Vianden,Luxembourg Lower Division,Luxembourg,Obscure
Jeunesse Useldange,Luxembourg First Division - North,Luxembourg,Obscure
ASRL Fels,Luxembourg Lower Division,Luxembourg,Obscure
FC Pratzerthal-Redange,Luxembourg Lower Division,Luxembourg,Obscure
FC Cebra 01,Luxembourg First Division - South,Luxembourg,Obscure
FC Vinesca Ehnen,-,Luxembourg,Obscure
ES Schouweiler,Luxembourg Lower Division,Luxembourg,Obscure
Johor DT,Malaysian Super League,Malaysia,National
Kedah,Malaysian Super League,Malaysia,National
Bullets FC,Malawian Premier Division,Malawi,National
Terengganu,Malaysian Super League,Malaysia,National
Selangor,Malaysian Super League,Malaysia,National
Penang,Malaysian Super League,Malaysia,National
Mighty Wanderers,Malawian Premier Division,Malawi,National
PJ City,Malaysian Super League,Malaysia,National
Melaka,Malaysian Super League,Malaysia,National
Perak,Malaysian Super League,Malaysia,National
Kuala Lumpur,Malaysian Super League,Malaysia,National
Sabah,Malaysian Super League,Malaysia,National
Pahang,Malaysian Super League,Malaysia,National
Felda Utd,Malaysian Lower Division,Malaysia,National
Sarawak Utd,Malaysian Premier League,Malaysia,National
N. Sembilan,Malaysian Premier League,Malaysia,National
Maziya,Maldivian Dhivehi League,Maldives,National
New Radiant,Maldivian Second Division,Maldives,National
Silver Strikers,Malawian Premier Division,Malawi,National
Moyale,Malawian Premier Division,Malawi,National
UiTM,Malaysian Super League,Malaysia,National
Kelantan Utd,Malaysian Premier League,Malaysia,National
Red Lions (MWI),Malawian Premier Division,Malawi,National
Eagles (MDV),Maldivian Dhivehi League,Maldives,National
Blue Eagles FC,Malawian Premier Division,Malawi,National
Benfica (MAC),Macanese First Division,Macau (China PR),National
TC Sports,Maldivian Dhivehi League,Maldives,National
Green Streets,Maldivian Dhivehi League,Maldives,National
Kelantan,Malaysian Premier League,Malaysia,National
Johor DT II,Malaysian Premier League,Malaysia,National
Felcra,Malaysian Lower Division,Malaysia,National
Karonga Utd,Malawian Premier Division,Malawi,National
Chao Pak Kei,Macanese First Division,Macau (China PR),National
Valencia (MDV),Maldivian Dhivehi League,Maldives,National
MAFCO,Malawian Premier Division,Malawi,National
Tigers FC (MWI),Malawian Premier Division,Malawi,National
Kamuzu Barracks,Malawian Premier Division,Malawi,National
Chitipa Utd,Malawian Premier Division,Malawi,National
AJS Melaky,Malagasy Lower Divisions,Madagascar,National
TN Stars FC,Malawian Premier Division,Malawi,National
Ntopwa,Malawian Premier Division,Malawi,National
Foakaidhoo,Maldivian Lower Division,Maldives,National
Da Grande SC,Maldivian Dhivehi League,Maldives,National
Ekwendeni Hammers,Malawian Premier Division,Malawi,National
PDRM,Malaysian Premier League,Malaysia,National
Terengganu II,Malaysian Premier League,Malaysia,National
Victory (MDV),Maldivian Second Division,Maldives,National
Selangor II,Malaysian Premier League,Malaysia,National
United Victory,Maldivian Dhivehi League,Maldives,National
Nilandhoo SC,Maldivian Lower Division,Maldives,National
Kuching,Malaysian Premier League,Malaysia,National
Ajesaia,Malagasy Premier Division,Madagascar,National
USCA Foot,Malagasy Premier Division,Madagascar,National
BG Sports,Maldivian Second Division,Maldives,National
FCA Ilakaka,Malagasy Premier Division,Madagascar,National
FC Lazio,Malagasy Lower Divisions,Madagascar,National
Iarivo FC,Malagasy Lower Divisions,Madagascar,National
COSFA,Malagasy Premier Division,Madagascar,National
FC Fivoarana,Malagasy Lower Divisions,Madagascar,National
Ka I,Macanese First Division,Macau (China PR),National
AYL,Maldivian Second Division,Maldives,National
UKM,Malaysian Lower Division,Malaysia,National
Perak II,Malaysian Premier League,Malaysia,National
KL Rovers,Malaysian Division Three League,Malaysia,National
Five FC,Malagasy Premier Division,Madagascar,National
AS Adema,Malagasy Premier Division,Madagascar,National
Vyansa,Maldivian Second Division,Maldives,National
Kuantan,Malaysian Lower Division,Malaysia,National
Ching Fung,Macanese First Division,Macau (China PR),National
KT Rovers,Malaysian Lower Division,Malaysia,National
Sporting (MAC),Macanese First Division,Macau (China PR),National
Super United,Maldivian Dhivehi League,Maldives,National
Mahibadhoo,-,Maldives,National
Hurriyya (MDV),Maldivian Second Division,Maldives,National
Monte Carlo,Macanese First Division,Macau (China PR),National
Projek FAM-MSN,Malaysian Premier League,Malaysia,National
Terengganu City,Malaysian Lower Division,Malaysia,National
Perlis,Malaysian Lower Division,Malaysia,National
CIVO Utd,Malawian Premier Division,Malawi,National
3FB Toliara,Malagasy Lower Divisions,Madagascar,National
Zanakala,Malagasy Premier Division,Madagascar,National
USSK Ambanja,Malagasy Lower Divisions,Madagascar,National
Zomba Utd,-,Malawi,National
Top Dom,Malagasy Lower Divisions,Madagascar,National
FC Angèle,Malagasy Lower Divisions,Madagascar,National
FC Iharana,Malagasy Lower Divisions,Madagascar,National
FC Malaimbandy,Malagasy Lower Divisions,Madagascar,National
FC Menagnara,Malagasy Lower Divisions,Madagascar,National
Fifafifi TFC,Malagasy Lower Divisions,Madagascar,National
HZAM 3FB,Malagasy Lower Divisions,Madagascar,National
STF,Malagasy Lower Divisions,Madagascar,National
VFM Manakara,Malagasy Lower Divisions,Madagascar,National
VB Sports,Maldivian Second Division,Maldives,National
Léopards Transfoot,Malagasy Lower Divisions,Madagascar,National
Tia Kitra,Malagasy Premier Division,Madagascar,National
Buru SC,Maldivian Lower Division,Maldives,National
AS JET-Kintana,Malagasy Premier Division,Madagascar,National
CS-DFC,Malagasy Premier Division,Madagascar,National
MOF,Malaysian Lower Division,Malaysia,Regional
Polícia SP,Macanese First Division,Macau (China PR),National
Protap,Malaysian Lower Division,Malaysia,Regional
Langkawi City,Malaysian Division Three League,Malaysia,Regional
CFF Analamanga,-,Madagascar,National
JJ Sports,Maldivian Second Division,Maldives,National
Harini,Malaysian Division Three League,Malaysia,Regional
Kei Lun,Macanese Lower Division,Macau (China PR),National
FC Vakinankaratra,Malagasy Lower Divisions,Madagascar,National
Kohinoor SC,Malagasy Lower Divisions,Madagascar,National
Max Bullets,-,Malawi,National
Nchalo Utd,Malawian Lower Divisions,Malawi,National
Mlatho Mponela,Malawian Lower Divisions,Malawi,National
KSR Sains,Malaysian Division Three League,Malaysia,Regional
Perlis Utd,Malaysian Division Three League,Malaysia,Regional
USJF Ravinala,Malagasy Lower Divisions,Madagascar,National
Mzuzu Warriors,Malawian Premier Division,Malawi,National
Tim Iec,Macanese First Division,Macau (China PR),National
Young Fighters FC,Malaysian Lower Division,Malaysia,Regional
Hang Sai,Macanese First Division,Macau (China PR),National
Ultimate,Malaysian Division Three League,Malaysia,Regional
Manjung City,Malaysian Division Three League,Malaysia,Regional
Melawati,Malaysian Lower Division,Malaysia,Regional
Imigresen,Malaysian Division Three League,Malaysia,Regional
Lai Chi,Macanese Second Division,Macau (China PR),National
Macau U23s,Macanese First Division,Macau (China PR),National
Red Line,Maldivian Lower Division,Maldives,Regional
Alfândega,Macanese Second Division,Macau (China PR),National
Sarawak,Malaysian Lower Division,Malaysia,Local
AS Jirama,Malagasy Lower Divisions,Madagascar,National
AS St. Michel,Malagasy Lower Divisions,Madagascar,National
Shahzan Muda,Malaysian Lower Division,Malaysia,Local
FC Maeva,Malagasy Lower Divisions,Madagascar,National
Espoir Ambovombe,Malagasy Lower Divisions,Madagascar,National
FC Grand Olympique Menabe,Malagasy Lower Divisions,Madagascar,National
Andona Mahay Miray,Malagasy Lower Divisions,Madagascar,National
FC Vohémar,Malagasy Lower Divisions,Madagascar,National
FC PRESCOI,Malagasy Lower Divisions,Madagascar,National
TMM,Malagasy Lower Divisions,Madagascar,National
AJSM Maintirano,Malagasy Lower Divisions,Madagascar,National
ASAM,Malagasy Lower Divisions,Madagascar,National
Transport (MAD),Malagasy Lower Divisions,Madagascar,National
FC Ihosy,Malagasy Lower Divisions,Madagascar,National
FC Mamy JO,Malagasy Lower Divisions,Madagascar,National
Hanelang,Malaysian Lower Division,Malaysia,Local
PIB,Malaysian Division Three League,Malaysia,Local
Semarak,Malaysian Lower Division,Malaysia,Local
AMD U17s,Malaysian President Cup,Malaysia,Local
Mecano,Maldivian Second Division,Maldives,Regional
Casa de Portugal,Macanese Second Division,Macau (China PR),National
Sime Darby,Malaysian Lower Division,Malaysia,Local
Ikram Muda,Malaysian Lower Division,Malaysia,Local
ESCOM United,-,Malawi,National
FC Djivan,Malagasy Lower Divisions,Madagascar,National
AS Fortior,Malagasy Lower Divisions,Madagascar,National
DSA Antananarivo,Malagasy Lower Divisions,Madagascar,National
US Ambohidratrimo,Malagasy Lower Divisions,Madagascar,National
FC Atamob-Buffalo,Malagasy Lower Divisions,Madagascar,National
Thinadhoo,Maldivian Lower Division,Maldives,Regional
St Louisienne,Malagasy Lower Divisions,Madagascar,National
Blackpool (MWI),-,Malawi,National
Ekwendeni Medicals,-,Malawi,National
Michiru Castles,-,Malawi,National
RFM Andry,Malagasy Lower Divisions,Madagascar,National
MTM Maintirano,Malagasy Lower Divisions,Madagascar,National
FC Tigre,Malagasy Lower Divisions,Madagascar,National
Dallas Nosy Be,Malagasy Lower Divisions,Madagascar,National
TCO Boney,Malagasy Lower Divisions,Madagascar,National
JS Antalaha,Malagasy Lower Divisions,Madagascar,National
3FB Fandriana,Malagasy Lower Divisions,Madagascar,National
Akon Ambatomena,Malagasy Lower Divisions,Madagascar,National
Morondava,Malagasy Lower Divisions,Madagascar,National
ASJF Capricorne,Malagasy Lower Divisions,Madagascar,National
Tana FC,Malagasy Lower Divisions,Madagascar,National
Elgeco,Malagasy Premier Division,Madagascar,National
Wizards,Malawian Lower Divisions,Malawi,National
Airborne Rangers,Malawian Lower Divisions,Malawi,National
Dedza Young Soccer,-,Malawi,National
TTF Ambanja,Malagasy Lower Divisions,Madagascar,National
Dwanga Utd,Malawian Lower Divisions,Malawi,National
Espoir Manerinerina,Malagasy Lower Divisions,Madagascar,National
FC Joel,Malagasy Lower Divisions,Madagascar,National
Fosa Juniors,Malagasy Premier Division,Madagascar,National
FC Fitama,Malagasy Lower Divisions,Madagascar,National
FC Otiv,Malagasy Lower Divisions,Madagascar,National
FC Black Star,Malagasy Lower Divisions,Madagascar,National
FC 3M,Malagasy Lower Divisions,Madagascar,National
SFF-FC,Malagasy Lower Divisions,Madagascar,National
DCF Fort Dauphin,Malagasy Lower Divisions,Madagascar,National
FC Jocker,Malagasy Lower Divisions,Madagascar,National
FC Real Tsihombey,Malagasy Lower Divisions,Madagascar,National
AS Comato,Malagasy Lower Divisions,Madagascar,National
Them FC,Malagasy Lower Divisions,Madagascar,National
Chikwawa Utd,-,Malawi,National
Chigoli Academy,-,Malawi,National
Rumphi Pirates,Malawian Lower Divisions,Malawi,National
AA Antsirabe,Malagasy Lower Divisions,Madagascar,National
Melaka City,Malaysian Lower Division,Malaysia,Local
Northern Lions,Malaysian Lower Division,Malaysia,Local
Japan Actuel's,Malagasy Lower Divisions,Madagascar,National
Simbi,Malawian Lower Divisions,Malawi,National
Maalhos,Maldivian Lower Division,Maldives,Regional
Riverside (MDV),Maldivian Second Division,Maldives,Regional
SAMB,Malaysian Lower Division,Malaysia,Local
Consulado,Macanese Second Division,Macau (China PR),Regional
Protap II,Malaysian Lower Division,Malaysia,Local
Lam Pak,Macanese Lower Division,Macau (China PR),Regional
Guraidhoo,Maldivian Lower Division,Maldives,Local
Kuan Tai,Macanese Lower Division,Macau (China PR),Regional
Hong Lok,Macanese Second Division,Macau (China PR),Regional
Cheoc Lun,Macanese Third Division,Macau (China PR),Regional
Miladhoo,Maldivian Lower Division,Maldives,Local
Thoaddoo,Maldivian Lower Division,Maldives,Local
Tentera Darat,Malaysian Lower Division,Malaysia,Local
Sungai Ara,Malaysian Lower Division,Malaysia,Local
Chong Wa,Macanese Third Division,Macau (China PR),Regional
D'AR Wanderers,Malaysian Lower Division,Malaysia,Local
Thai Selangor,Malaysian Lower Division,Malaysia,Local
SSBJ,Malaysian Lower Division,Malaysia,Local
Lun Lok,Macanese Second Division,Macau (China PR),Regional
Artilheiros,Macanese Second Division,Macau (China PR),Regional
COSPN,Malagasy Lower Divisions,Madagascar,National
Megah Murni,Malaysian Lower Division,Malaysia,Local
LT Sports,Maldivian Second Division,Maldives,Local
SSTMI,Malaysian Lower Division,Malaysia,Local
Real Mulia,Malaysian Lower Division,Malaysia,Local
Ipoh,Malaysian Lower Division,Malaysia,Local
Tong Kuok Kei Lam,Macanese Lower Division,Macau (China PR),Local
Klasiko,Malaysian Lower Division,Malaysia,Local
Pasir Gudang Utd,Malaysian Lower Division,Malaysia,Obscure
Cheng U,Macanese Second Division,Macau (China PR),Local
Hong Ngai,Macanese Third Division,Macau (China PR),Local
KL PLUS,Malaysian Lower Division,Malaysia,Obscure
MDC Utd,-,Malawi,Local
Gola Utd,-,Malawi,Local
Illovo FC (MWI),-,Malawi,Local
Selangor MPPJ,Malaysian Lower Division,Malaysia,Obscure
Gaamagu,Maldivian Second Division,Maldives,Local
Warfare Utd,-,Malawi,Local
Hallelujah Stars,-,Malawi,Local
Varatraza,Malagasy Lower Divisions,Madagascar,Regional
Vesta Team FC,Malagasy Lower Divisions,Madagascar,Regional
Atafana,Malagasy Lower Divisions,Madagascar,Regional
FCE Atsinanana,Malagasy Lower Divisions,Madagascar,Regional
AS Andry Tsiroanomandidy,Malagasy Lower Divisions,Madagascar,Regional
FVD,Maldivian Lower Division,Maldives,Local
Porto (MAC),Macanese Lower Division,Macau (China PR),Local
KL SPA,Malaysian Lower Division,Malaysia,Obscure
Kelantan Tumpat,Malaysian Lower Division,Malaysia,Obscure
Lo Leong,Macanese Lower Division,Macau (China PR),Local
KDMM,Malaysian Lower Division,Malaysia,Obscure
DYS,Malaysian Lower Division,Malaysia,Obscure
Bukit Tambun,Malaysian Division Three League,Malaysia,Obscure
MK Land,Malaysian Lower Division,Malaysia,Obscure
Vong Chiu,Macanese Lower Division,Macau (China PR),Local
Lam Ieng,Macanese Lower Division,Macau (China PR),Local
MP Muar,Malaysian Lower Division,Malaysia,Obscure
Va Luen,Macanese Lower Division,Macau (China PR),Local
Chang Wai,Macanese Lower Division,Macau (China PR),Local
Tentera Udara,Malaysian Lower Division,Malaysia,Obscure
NS Kuala Pilah,Malaysian Lower Division,Malaysia,Obscure
Cebagoo,Malaysian Lower Division,Malaysia,Obscure
DRB,Malaysian Lower Division,Malaysia,Obscure
Atlético Macau,Macanese Second Division,Macau (China PR),Local
KL Maju Holdings,Malaysian Lower Division,Malaysia,Obscure
Ieong Heng,Macanese Third Division,Macau (China PR),Local
Heng Tai,Macanese Lower Division,Macau (China PR),Local
NS Chempaka,Malaysian Lower Division,Malaysia,Obscure
Hoi Fan,Macanese Lower Division,Macau (China PR),Local
NS Betaria,Malaysian Lower Division,Malaysia,Obscure
Selangor Proton,Malaysian Lower Division,Malaysia,Obscure
DBKL,Malaysian Lower Division,Malaysia,Obscure
Kuala Muda,Malaysian Lower Division,Malaysia,Obscure
Ban Hoe Leong,Malaysian Lower Division,Malaysia,Obscure
Melodi Jaya,Malaysian Lower Division,Malaysia,Obscure
Mulaku,Maldivian Lower Division,Maldives,Obscure
MPKK,Malaysian Lower Division,Malaysia,Obscure
KL Rapid,Malaysian Lower Division,Malaysia,Obscure
Penjara,Malaysian Lower Division,Malaysia,Obscure
Johor Bahru,Malaysian Lower Division,Malaysia,Obscure
Stade Malien,Malian Ligue 1,Mali,National
Djoliba,Malian Ligue 1,Mali,National
Réal Bamako,Malian Ligue 1,Mali,National
CO Bamako,Malian Ligue 1,Mali,National
Onze Créateurs,Malian Ligue 1,Mali,National
FC Nouadhibou,Mauritanian D1,Mauritania,National
Académie JMG Mali,ACEFOOT League,Mali,National
Club Franciscain,Martinican Trophee Gerard Janvion R1,Martinique,National
ASAC Concorde,Mauritanian D1,Mauritania,National
CS Duguwolofila,Malian Ligue 1,Mali,National
Tevragh Zeïna,Mauritanian D1,Mauritania,National
Yeelen Olympique,Malian Ligue 1,Mali,National
Golden Lion,Martinican Trophee Gerard Janvion R1,Martinique,National
AS Samaritaine,Martinican Trophee Gerard Janvion R1,Martinique,National
USFAS,Malian Ligue 1,Mali,National
AS Bakaridjan,Malian Ligue 1,Mali,National
Club Colonial,Martinican Trophee Gerard Janvion R1,Martinique,National
Aiglon,Martinican Trophee Gerard Janvion R1,Martinique,National
AS Bamako,Bamako District League - Pool A,Mali,National
AS Police (MLI),Malian Ligue 1,Mali,National
USC Kita,Malian Ligue 1,Mali,National
ASC Kédia,Mauritanian Lower Leagues,Mauritania,National
Nouakchott King's,Mauritanian D1,Mauritania,National
Ħamrun S.,Maltese Premier League,Malta,National
AS Nianan,Koulikoro Regional Championship,Mali,National
ASC Tidjikja,Mauritanian D1,Mauritania,National
LC Bamako,Malian Ligue 1,Mali,National
US Robert,Martinican Trophee Gerard Janvion R1,Martinique,National
Essor,Martinican Trophee Gerard Janvion R1,Martinique,National
Hibernians,Maltese Premier League,Malta,National
Valletta,Maltese Premier League,Malta,National
RC Rivière-Pilote,Martinican Trophee Gerard Janvion R1,Martinique,National
Birkirkara,Maltese Premier League,Malta,National
Centre Salif Keïta,Bamako District League - Pool B,Mali,National
Sonni AC,Gao Regional Championship,Mali,National
ASO Missira,Malian Ligue 1,Mali,National
Black Stars (MLI),Malian Ligue 1,Mali,National
ASC SNIM,Mauritanian D1,Mauritania,National
Kaédi FC,Mauritanian D1,Mauritania,National
Trarza AC Médine,Mauritanian D1,Mauritania,National
Floriana,Maltese Premier League,Malta,National
Gżira Utd,Maltese Premier League,Malta,National
Rapid-Club (MTQ),Martinican Trophee Gerard Janvion R1,Martinique,National
Balzan,Maltese Premier League,Malta,National
New Star,Martinican Trophee Gerard Janvion R1,Martinique,National
ASC Garde,Mauritanian D1,Mauritania,National
AFE,Malian Ligue 1,Mali,National
Avenir AC,Tombouctou Regional Championship,Mali,National
Mamahira,Koulikoro Regional Championship,Mali,National
CO Trénelle,Martinican Trophee Gerard Janvion R1,Martinique,National
Mosta,Maltese Premier League,Malta,National
CS Case-Pilote,Martinican Régionale 2 Groupe A,Martinique,National
Sliema W.,Maltese Premier League,Malta,National
UJ Monnérot,Martinican Trophee Gerard Janvion R1,Martinique,National
Réveil Sportif,Martinican Trophee Gerard Janvion R1,Martinique,National
Sirens,Maltese Premier League,Malta,National
Good Luck,Martinican Régionale 2 Groupe A,Martinique,National
ASC Armée,Mauritanian D1,Mauritania,National
ASC Corpus Police,Mauritanian Lower Leagues,Mauritania,National
ACS Ksar,Mauritanian D1,Mauritania,National
AS Korofina,Malian Ligue 1,Mali,National
Binga FC,Bamako District League - Pool B,Mali,National
AS Performance,-,Mali,National
US Bougouni,Sikasso Regional Championship,Mali,National
Office du Niger,Ségou Regional Championship,Mali,National
Eliwidj,Kidal Regional Championship,Mali,National
AS Sabana,Mopti Regional Championship,Mali,National
RC Saint-Joseph,Martinican Trophee Gerard Janvion R1,Martinique,National
US Diamantinois,Martinican Régionale 2 Groupe B,Martinique,National
Sta Luċia,Maltese Premier League,Malta,National
Gudja Utd,Maltese Premier League,Malta,Regional
Tarxien R.,Maltese Challenge League,Malta,Regional
Żejtun C.,Maltese Challenge League,Malta,Regional
AS Mandé,-,Mali,National
Tata National,Sikasso Regional Championship,Mali,National
Assaut,Martinican Régionale 2 Groupe A,Martinique,National
AS Biton,Ségou Regional Championship,Mali,National
AS Sigui,Kayes Regional Championship,Mali,National
SM Sikasso,Sikasso Regional Championship,Mali,National
AS Douanes (MLI),Malian Ligue 1,Mali,National
Derby Académie,Bamako District League - Pool A,Mali,National
Gourél Sangué,Mauritanian D1,Mauritania,National
JA Bamako,-,Mali,National
CAS Sévaré,Mopti Regional Championship,Mali,National
JAHE El Mina,Mauritanian Lower Leagues,Mauritania,National
AS Douanes (MTN),Mauritanian D1,Mauritania,National
Pembroke A.,Maltese Challenge League,Malta,Regional
Emulation,Martinican Régionale 2 Groupe A,Martinique,National
Réal Tartane,Martinican Régionale 2 Groupe A,Martinique,National
Lija A.,Maltese Challenge League,Malta,Regional
Anses d'Arlet,Martinican Régionale 2 Groupe B,Martinique,National
Naxxar L.,Maltese Challenge League,Malta,Regional
Pietà H.,Maltese Challenge League,Malta,Regional
Marsa,Maltese Challenge League,Malta,Regional
Marsaxlokk,Maltese Challenge League,Malta,Regional
Eclair,Martinican Régionale 2 Groupe B,Martinique,National
Żebbuġ Ran.,Maltese Challenge League,Malta,Regional
Eucalyptus,Martinican Régionale 2 Groupe B,Martinique,National
AC Vert-Pré,Martinican Régionale 2 Groupe A,Martinique,National
St. Andrews FC,Maltese Challenge League,Malta,Regional
Nadur Y.,Gozitan Football Leagues,Malta,Regional
San Ġwann,Maltese Challenge League,Malta,Regional
Swieqi Utd,Maltese Challenge League,Malta,Regional
New-Club,Martinican Trophee Gerard Janvion R1,Martinique,National
US Marinoise,Martinican Régionale 2 Groupe B,Martinique,National
Mqabba,Maltese Challenge League,Malta,Regional
Senglea A.,Maltese Challenge League,Malta,Regional
CS Vauclinois,Martinican Régionale 2 Groupe B,Martinique,National
Stade Spiritain,Martinican Régionale 2 Groupe B,Martinique,National
